,hid,name,full_name,begin_time,end_time
169,-139166,NAVSTAR-68,NAVSTAR-68 (spacecraft), 2013-MAY-15 14:26:49.8883 UT, 2022-JAN-12 09:02:05.3163 UT
170,-139459,Chang\'e_3_booster,Chang'e_3_booster (spacecraft), 2021-APR-04 23:58:50.8160 UT, 2021-MAY-31 21:34:50.8160 UT
171,-139479,Gaia,Gaia (spacecraft), 2013-DEC-19 09:54:19.5774 UT, 2026-SEP-14 21:10:09.2377 UT
172,-140059,OCO-2,OCO-2 (spacecraft), 2014-JUL-01 22:56:45.4174 UT, 2022-JAN-12 22:34:20.1435 UT
173,-140376,SMAP,SMAP (spacecraft), 2015-JAN-31 05:00:40.5714 UT, 2022-JAN-12 22:24:38.5263 UT
174,-140482,MMS-1,MMS-1 (spacecraft), 2015-MAR-12 15:54:41.9740 UT, 2022-JAN-02 04:54:28.0751 UT
175,-140483,MMS-2,MMS-2 (spacecraft), 2015-MAR-12 15:54:49.8312 UT, 2022-JAN-02 04:54:28.0751 UT
176,-140484,MMS-3,MMS-3 (spacecraft), 2015-MAR-12 15:54:39.9980 UT, 2022-JAN-02 04:54:28.0751 UT
177,-140485,MMS-4,MMS-4 (spacecraft), 2015-MAR-12 15:54:39.3569 UT, 2022-JAN-04 04:43:45.1909 UT
178,-140663,DirecTV-15,DirecTV-15 (spacecraft), 2015-MAY-27 04:40:31.7101 UT, 2022-JAN-13 03:49:04.3262 UT
179,-140947,2015-056B,2015-056B (spacecraft), 2015-OCT-02 10:27:01.5399 UT, 2022-JAN-11 18:18:39.2792 UT
180,-141043,LISA Pathfinder,LISA Pathfinder (spacecraft), 2015-DEC-03 04:44:33.8984 UT, 2017-JUN-30 16:54:30.5729 UT
181,-141240,Jason-3,Jason-3 (spacecraft), 2016-JAN-17 08:22:02.0813 UT, 2022-JAN-12 20:29:54.9070 UT
182,-141748,Intelsat-33E,Intelsat-33E (spacecraft), 2016-AUG-24 04:53:39.6790 UT, 2022-JAN-13 03:24:57.6213 UT
183,-143205,SpaceX Roadster,SpaceX Roadster (spacecraft), 2018-FEB-07 02:58:50.8151 UT, 2090-JAN-01 23:58:50.8161 UT
184,-143241,GSAT-6A,GSAT-6A (spacecraft), 2018-MAR-28 18:36:01.4982 UT, 2022-JAN-12 16:48:43.5560 UT
185,-143846,Chang\'e_4_booster,Chang'e_4_booster (spacecraft), 2021-APR-04 23:58:50.8160 UT, 2021-MAY-31 21:34:50.8160 UT
186,9901489,2018_AV2,2018_AV2 (spacecraft), 1957-OCT-04 17:10:28.1340 UT, 2040-JAN-01 19:20:50.8161 UT
187,9901490,9O0DC57,9O0DC57 (spacecraft), 2009-JUL-01 23:58:53.8159 UT, 2009-SEP-03 23:58:53.8174 UT
188,9901885,9U01FF6,9U01FF6 (spacecraft), 2008-SEP-01 23:58:54.8174 UT, 2011-AUG-30 23:58:53.8174 UT
189,-9901491,Tianwen-1,Tianwen-1 (spacecraft), 2020-JUL-23 05:58:50.8165 UT, 2021-FEB-10 13:05:28.0000 UT
